UERANSIM v3.2.6
[2024-07-13 12:25:43.909] [001011234567903|nas] [info] UE switches to state [MM-DEREGISTERED/PLMN-SEARCH]
[2024-07-13 12:25:43.911] [001011234567902|nas] [info] UE switches to state [MM-DEREGISTERED/PLMN-SEARCH]
[2024-07-13 12:25:43.911] [001011234567898|nas] [info] UE switches to state [MM-DEREGISTERED/PLMN-SEARCH]
[2024-07-13 12:25:43.912] [001011234567900|nas] [info] UE switches to state [MM-DEREGISTERED/PLMN-SEARCH]
[2024-07-13 12:25:43.912] [001011234567901|nas] [info] UE switches to state [MM-DEREGISTERED/PLMN-SEARCH]
[2024-07-13 12:25:43.912] [001011234567904|nas] [info] UE switches to state [MM-DEREGISTERED/PLMN-SEARCH]
[2024-07-13 12:25:43.915] [001011234567896|nas] [info] UE switches to state [MM-DEREGISTERED/PLMN-SEARCH]
[2024-07-13 12:25:43.915] [001011234567897|nas] [info] UE switches to state [MM-DEREGISTERED/PLMN-SEARCH]
[2024-07-13 12:25:43.916] [001011234567895|nas] [info] UE switches to state [MM-DEREGISTERED/PLMN-SEARCH]
[2024-07-13 12:25:43.916] [001011234567899|nas] [info] UE switches to state [MM-DEREGISTERED/PLMN-SEARCH]
[2024-07-13 12:25:43.919] [001011234567898|rrc] [debug] New signal detected for cell[1], total [1] cells in coverage
[2024-07-13 12:25:43.919] [001011234567902|rrc] [debug] New signal detected for cell[1], total [1] cells in coverage
[2024-07-13 12:25:43.919] [001011234567904|rrc] [debug] New signal detected for cell[1], total [1] cells in coverage
[2024-07-13 12:25:43.919] [001011234567898|nas] [info] Selected plmn[001/01]
[2024-07-13 12:25:43.919] [001011234567902|nas] [info] Selected plmn[001/01]
[2024-07-13 12:25:43.919] [001011234567903|rrc] [debug] New signal detected for cell[1], total [1] cells in coverage
[2024-07-13 12:25:43.919] [001011234567904|nas] [info] Selected plmn[001/01]
[2024-07-13 12:25:43.919] [001011234567904|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.919] [001011234567904|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.919] [001011234567904|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:25:43.919] [001011234567898|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.919] [001011234567898|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.919] [001011234567902|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.919] [001011234567902|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.919] [001011234567898|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:25:43.919] [001011234567900|rrc] [debug] New signal detected for cell[1], total [1] cells in coverage
[2024-07-13 12:25:43.919] [001011234567902|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:25:43.919] [001011234567903|nas] [info] Selected plmn[001/01]
[2024-07-13 12:25:43.919] [001011234567903|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.919] [001011234567903|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.919] [001011234567903|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:25:43.920] [001011234567900|nas] [info] Selected plmn[001/01]
[2024-07-13 12:25:43.920] [001011234567900|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.920] [001011234567900|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.920] [001011234567900|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:25:43.921] [001011234567897|rrc] [debug] New signal detected for cell[1], total [1] cells in coverage
[2024-07-13 12:25:43.921] [001011234567895|rrc] [debug] New signal detected for cell[1], total [1] cells in coverage
[2024-07-13 12:25:43.922] [001011234567896|rrc] [debug] New signal detected for cell[1], total [1] cells in coverage
[2024-07-13 12:25:43.922] [001011234567895|nas] [info] Selected plmn[001/01]
[2024-07-13 12:25:43.922] [001011234567895|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [1] no SI, [0] reserved, [0] barred, ftai [0]
[2024-07-13 12:25:43.922] [001011234567895|rrc] [warning] Acceptable cell selection failed in [1] cells. [1] no SI, [0] reserved, [0] barred, ftai [0]
[2024-07-13 12:25:43.922] [001011234567895|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:25:43.922] [001011234567901|rrc] [debug] New signal detected for cell[1], total [1] cells in coverage
[2024-07-13 12:25:43.922] [001011234567899|rrc] [debug] New signal detected for cell[1], total [1] cells in coverage
[2024-07-13 12:25:43.922] [001011234567899|nas] [info] Selected plmn[001/01]
[2024-07-13 12:25:43.922] [001011234567901|nas] [info] Selected plmn[001/01]
[2024-07-13 12:25:43.922] [001011234567899|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.922] [001011234567901|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.922] [001011234567901|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.922] [001011234567901|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:25:43.922] [001011234567899|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.922] [001011234567899|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:25:43.922] [001011234567896|nas] [info] Selected plmn[001/01]
[2024-07-13 12:25:43.922] [001011234567896|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.922] [001011234567896|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.923] [001011234567896|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:25:43.922] [001011234567897|nas] [info] Selected plmn[001/01]
[2024-07-13 12:25:43.923] [001011234567897|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.923] [001011234567897|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:25:43.923] [001011234567897|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:25:49.414] [001011234567903|nas] [info] UE switches to state [MM-DEREGISTERED/NO-CELL-AVAILABLE]
[2024-07-13 12:25:49.414] [001011234567902|nas] [info] UE switches to state [MM-DEREGISTERED/NO-CELL-AVAILABLE]
[2024-07-13 12:25:49.416] [001011234567904|nas] [info] UE switches to state [MM-DEREGISTERED/NO-CELL-AVAILABLE]
[2024-07-13 12:25:49.416] [001011234567898|nas] [info] UE switches to state [MM-DEREGISTERED/NO-CELL-AVAILABLE]
[2024-07-13 12:25:49.416] [001011234567900|nas] [info] UE switches to state [MM-DEREGISTERED/NO-CELL-AVAILABLE]
[2024-07-13 12:25:49.417] [001011234567901|nas] [info] UE switches to state [MM-DEREGISTERED/NO-CELL-AVAILABLE]
[2024-07-13 12:25:49.418] [001011234567897|nas] [info] UE switches to state [MM-DEREGISTERED/NO-CELL-AVAILABLE]
[2024-07-13 12:25:49.419] [001011234567896|nas] [info] UE switches to state [MM-DEREGISTERED/NO-CELL-AVAILABLE]
[2024-07-13 12:25:49.419] [001011234567899|nas] [info] UE switches to state [MM-DEREGISTERED/NO-CELL-AVAILABLE]
[2024-07-13 12:25:49.420] [001011234567895|nas] [info] UE switches to state [MM-DEREGISTERED/NO-CELL-AVAILABLE]
[2024-07-13 12:26:13.922] [001011234567902|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.922] [001011234567902|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.922] [001011234567902|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:13.922] [001011234567903|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.922] [001011234567903|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.922] [001011234567903|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:13.923] [001011234567900|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.923] [001011234567904|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.923] [001011234567904|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.923] [001011234567904|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:13.923] [001011234567898|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.923] [001011234567898|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.923] [001011234567898|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:13.923] [001011234567900|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.923] [001011234567900|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:13.924] [001011234567901|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.924] [001011234567901|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.924] [001011234567901|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:13.925] [001011234567897|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.925] [001011234567897|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.925] [001011234567897|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:13.926] [001011234567896|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.926] [001011234567896|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.926] [001011234567896|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:13.926] [001011234567899|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.926] [001011234567899|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.926] [001011234567899|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:13.927] [001011234567895|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.927] [001011234567895|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:13.927] [001011234567895|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:43.934] [001011234567903|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:43.934] [001011234567903|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:43.934] [001011234567903|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:43.934] [001011234567902|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:43.934] [001011234567902|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:43.934] [001011234567902|rrc] [error] Cell selection failure, no suitable or acceptable cell found
[2024-07-13 12:26:43.935] [001011234567904|rrc] [warning] Suitable cell selection failed in [1] cells. [0] out of PLMN, [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:43.935] [001011234567904|rrc] [warning] Acceptable cell selection failed in [1] cells. [0] no SI, [0] reserved, [1] barred, ftai [0]
[2024-07-13 12:26:43.935] [001011234567904|rrc] [error] Cell selection failure, no suitable or acceptable cell found
